,p_values,adj_pvalue,mFC,AbsLog2FC
Ethanoligenens harbinense,0.675067788,0.804775136,0.975123076,0.036343774
Eubacterium maltosivorans,0.632554883,0.777871546,1.025118367,0.035790503
Sutterella megalosphaeroides,0.805478387,0.883114858,1.024594188,0.035052613
[Clostridium] clostridioforme,0.535243628,0.689252408,1.023454751,0.033447319
Prevotella sp. oral taxon 299,0.865282948,0.919152703,0.977626831,0.032644214
Tannerella sp. oral taxon HOT-286,0.734122969,0.84404113,1.022530759,0.032144241
Bacteroides intestinalis,0.791474842,0.875753213,0.979224573,0.030288333
Bacteroides heparinolyticus,0.733440232,0.84404113,0.979650759,0.029660568
Eubacterium limosum,0.70412017,0.824999169,1.020128796,0.02875131
Megasphaera stantonii,0.735830729,0.84404113,0.980305684,0.028696407
Sutterella sp. KGMB03119,0.863500667,0.919152703,1.01858288,0.026563374
Klebsiella variicola,0.852110886,0.915851465,0.982509067,0.025457374
Barnesiella viscericola,0.804425893,0.883114858,0.983128415,0.024548222
Klebsiella michiganensis,0.845717505,0.915851465,0.983502232,0.023999768
Aeromonas hydrophila,0.76869061,0.856540965,0.983783951,0.023586575
Prevotella denticola,0.900342852,0.939019799,1.016067612,0.022996407
Pseudomonas aeruginosa,0.849268157,0.915851465,0.985521573,0.021040643
Lactobacillus mucosae,0.843411255,0.915851465,0.986833085,0.01912201
Olsenella sp. Marseille-P2300,0.870098506,0.920685629,1.013146208,0.018842386
Streptococcus mitis,0.894245098,0.938957353,0.987452951,0.018216085
Collinsella aerofaciens,0.90303493,0.939019799,0.988209405,0.017111309
Libanicoccus massiliensis,0.885110286,0.932954086,0.990338095,0.014006958
Acutalibacter muris,0.860472387,0.919152703,0.990523113,0.013737455
Oxalobacter formigenes,0.908063102,0.939019799,0.991478445,0.012346687
Aeromonas veronii,0.906087298,0.939019799,1.006389204,0.00918835
Prevotella scopos,0.960139942,0.970808164,0.994094083,0.008545697
Streptococcus pneumoniae,0.943352298,0.967318218,0.994164946,0.00844286
Klebsiella oxytoca,0.946058477,0.967318218,1.004905244,0.007059472
Burkholderia dolosa,0.757630288,0.851731028,1.004890903,0.007038883
Petrimonas mucosa,0.955083396,0.96928538,1.004871718,0.007011338
Enterobacter cloacae complex sp. ECNIH7,0.945156347,0.967318218,1.004522776,0.006510276
Acidaminococcus fermentans,0.953097379,0.96928538,0.995786992,0.006090926
Shigella sp. PAMC 28760,0.655143236,0.793817967,1.002727037,0.003928928
Lactobacillus paragasseri,0.984538592,0.991424931,0.998116697,0.002719593
Olsenella sp. GAM18,0.987793338,0.991424931,0.998455369,0.002230154
Enterobacter roggenkampii,0.997196885,0.997196885,0.999689233,0.000448411
