"","p_values","adj_pvalue","mFC","AbsLog2FC"
"Phaeomoniella chlamydospora",0.362441852554802,0.690307129217342,0.948003076552837,0.0770363537803695
"Rhizophagus clarus",0.211958411215104,0.651377116884511,1.05367465334174,0.0754294699462944
"Penicillium nalgiovense",0.502137594941302,0.821175293384671,1.05320112045553,0.0747809613188511
"Trichoderma guizhouense",0.372236499912184,0.695968737734098,0.950165169047649,0.0737497731767558
"Mucor circinelloides",0.213562221315845,0.651377116884511,0.950167291090849,0.0737465511498045
"Hypsizygus marmoreus",0.542605792067966,0.832182976435844,1.05232403844747,0.0735790170615502
"Colletotrichum gloeosporioides",0.282455975200773,0.690307129217342,1.05230709678555,0.073555790519639
"Cercospora berteroae",0.38704538787996,0.707194042052272,0.950483210129512,0.0732669523658029
"Armillaria gallica",0.302927087326358,0.690307129217342,1.0520671925401,0.0732268484027732
"Verticillium longisporum",0.344664776171255,0.690307129217342,1.05188224023667,0.0729732018393327
"Absidia glauca",0.360287385878889,0.690307129217342,1.05054730302013,0.0711411237397816
"Cenococcum geophilum",0.235105101146037,0.652661497746909,1.05036361429381,0.0708888457274018
"Protomyces lactucaedebilis",0.671444535694442,0.915887477260621,1.04963926447984,0.0698935938289459
"Candida tropicalis",0.440022822903764,0.770690861417243,1.04874026030287,0.0686574123547357
"Choanephora cucurbitarum",0.312574236835273,0.690307129217342,0.953582489490916,0.0685703508622063
"Saccharomyces eubayanus",0.525726544105762,0.827739665187796,0.953839006682203,0.0681823127880345
"Pyricularia pennisetigena",0.38697046292014,0.707194042052272,1.04766793503711,0.0671815180308245
"Sporothrix brasiliensis",0.373848071958519,0.695968737734098,0.955050771468597,0.0663506645672831
"Colletotrichum incanum",0.345083127438479,0.690307129217342,0.955161699019066,0.0661831076806943
"Absidia repens",0.31349096859338,0.690307129217342,1.04685014020516,0.0660549308483781
"Piromyces finnis",0.343064097474773,0.690307129217342,0.955997352369704,0.0649214722131241
"Edhazardia aedis",0.347389846369162,0.690307129217342,1.04557715386817,0.0642995233297769
"Corynespora cassiicola",0.458428049319841,0.773499949831951,0.956520428085131,0.0641323148341094
"Penicillium oxalicum",0.520130871754009,0.827735150748316,0.956698137853385,0.0638643046792008
"Metarhizium anisopliae",0.51588820975663,0.827735150748316,0.957185545931661,0.0631294833955697
"Lachancea thermotolerans",0.643115367559644,0.900805304531631,1.04452762717586,0.0628506513925783
"Pisolithus microcarpus",0.437037306700056,0.770690861417243,1.04438900598409,0.0626591759616747
"Exophiala aquamarina",0.418192509628808,0.754786480793458,0.957758696189678,0.0622658748983308
"Phycomyces blakesleeanus",0.346340123148509,0.690307129217342,1.0438576795904,0.061925027094004
"Rachicladosporium antarcticum",0.479205549395648,0.796881138320852,1.04266955252368,0.0602820049603974
"Pyrrhoderma noxium",0.458593568043831,0.773499949831951,0.959160818127599,0.0601553692540423
"Termitomyces sp. J132",0.41038688348426,0.745242438719884,1.04181791990794,0.0591031576552495
"Zymoseptoria tritici",0.519511032984372,0.827735150748316,0.960457103512968,0.058206914032581
"Phytopythium vexans",0.51289388551159,0.827735150748316,1.04094210600614,0.0578898326138377
"Neocallimastix californiae",0.350058187452699,0.690307129217342,1.04043149206109,0.057181972937135
"Laetiporus sulphureus",0.363810514046978,0.690307129217342,1.03933539902807,0.0556612946954773
"Hanseniaspora valbyensis",0.564908233409288,0.853126719842598,1.03895393888085,0.0551316950301927
"Phytophthora sojae",0.459918889089268,0.773499949831951,0.963830302193079,0.0531489357097904
"Dactylellina haptotyla",0.456609604116227,0.773499949831951,0.964930838464106,0.0515025541445766
"Histoplasma capsulatum",0.355860355380782,0.690307129217342,0.965354758159548,0.0508688791554959
"Aspergillus taichungensis",0.512190659270494,0.827735150748316,0.965703014684881,0.0503485136081084
"Rutstroemia sp. NJR-2017a BBW",0.592824715209498,0.890741704071124,1.03499138730399,0.0496187623666136
"Pyricularia oryzae",0.523857906573689,0.827739665187796,0.966316631607523,0.0494321025118066
"Blastomyces gilchristii",0.535210468730894,0.829436119080339,0.966338800221802,0.0493990055102841
"Hyaloscypha bicolor",0.442857706607314,0.771093418563324,1.03474267846458,0.0492720405177501
"Tolypocladium paradoxum",0.59726980858647,0.892888198694925,1.03465542213085,0.0491503778178575
"Pseudocercospora musae",0.53278659247037,0.829436119080339,0.966824437939513,0.0486741550393887
"Polytolypa hystricis",0.541068439945619,0.832182976435844,0.967468948173965,0.0477127375417824
"Cercospora beticola",0.644387808555031,0.900805304531631,1.0336153531171,0.0476994048091345
"Kluyveromyces marxianus",0.675730747849068,0.917505969556533,0.967484693784003,0.0476892577921645
"Hypholoma sublateritium",0.492706284494306,0.810228112279526,1.03342844950066,0.0474385057213127
"Dichomitus squalens",0.529384643396044,0.829089176958883,1.03289544808014,0.0466942288689494
"Candida maltosa",0.630351993959359,0.898973140462678,1.03210306314885,0.0455870417589044
