"","Bacteroidetes","Firmicutes","Actinobacteria","Proteobacteria","Verrucomicrobia","Cohort","Stage","SampleName"
"S4_013",66.6388986674048,28.337231613766,3.22720804191039,1.58565163845562,0.00464855153123532,"2021_JunY_2","adenoma","S4_013"
"S3_057",56.6008393737402,38.3556033299133,3.19972380737972,1.6971757407261,0.00867512019823963,"2021_JunY_2","adenoma","S3_057"
"CCIS47745468ST-4-0",76.4643893983553,18.4715665570877,0.417854043058865,2.55256120369507,1.99734303325587,"2014_ZellerG","adenoma","CCIS47745468ST-4-0"
"S2_047",79.7219473995672,15.1342032826044,1.84384477995849,1.65900684596096,0.0285114598426812,"2021_JunY_2","adenoma","S2_047"
"HmFeces_11423",71.6362582333375,23.200911318834,1.72008227065294,2.88560098092754,0.183929251081898,"2019_Yachida","adenoma","HmFeces_11423"
"S3_104",72.8411172019046,21.9481359831867,1.30826042448146,0.653682913788078,0.0895679335718819,"2021_JunY_2","adenoma","S3_104"
"HmFeces_11253",54.1123002113926,40.6501956248745,3.14881712347421,1.96452916279866,0.0147864606563199,"2019_Yachida","adenoma","HmFeces_11253"
"HmFeces_10860",70.7817131929183,23.955048052257,1.60182647063135,2.72672456466561,0.0196905441412104,"2019_Yachida","adenoma","HmFeces_10860"
"CCIS59903910ST-4-0",42.5945202800815,52.0940392746656,0.929390577604822,4.27516648098369,0.0095959675209693,"2014_ZellerG","adenoma","CCIS59903910ST-4-0"
"S2_010",85.0258003999668,9.63395923569058,0.270146601691102,4.45801350733008,0.297351415092025,"2021_JunY_2","adenoma","S2_010"
"HmFeces_10345",60.2363508151101,34.3992675890046,2.18510561501393,2.82832904558823,0.0296812269117465,"2019_Yachida","adenoma","HmFeces_10345"
"S2_040",80.268488429636,14.3530520831109,0.63039091075576,4.1014319413209,0.472568810299471,"2021_JunY_2","adenoma","S2_040"
"S3_044",34.2418394133681,60.3544163795359,1.97132979036568,2.15537776269448,0.142708547356505,"2021_JunY_2","adenoma","S3_044"
"HmFeces_11438",61.2081954171041,33.3609529101152,0.99147095197197,2.71635833014025,1.20688911850034,"2019_Yachida","adenoma","HmFeces_11438"
"S2_059",59.0713819371971,35.4939040588848,3.42552904629368,1.85082910116368,0.027793538085265,"2021_JunY_2","adenoma","S2_059"
"HmFeces_10545",58.4781544658084,35.8867561055592,3.13261848252072,1.22800761484168,0.0266550698889317,"2019_Yachida","adenoma","HmFeces_10545"
"S4_012",67.248988853309,27.051260159263,3.47167468277085,2.00550037464571,0.0302856550070553,"2021_JunY_2","adenoma","S4_012"
"GF16",82.7787292675835,11.4775097127976,3.49494501184808,1.53457700542595,0.531583300033114,"2019_Thom","adenoma","GF16"
"HmFeces_10581",77.1472169443407,17.0720354294434,2.0738009743788,3.61345981820402,0.00742233230280086,"2019_Yachida","adenoma","HmFeces_10581"
"S4_015",77.7874521916279,16.4256101758992,0.847428968714226,3.87926288311135,0.00880182479384494,"2021_JunY_2","adenoma","S4_015"
"S2_061",54.7282929442455,39.4573890969789,3.99164721508148,1.49880964356247,0.013344271747125,"2021_JunY_2","adenoma","S2_061"
"SID530867",53.5306377877957,40.5143619904938,3.17085333372036,1.77074137993108,0.647859787861922,"2015_FengQ","adenoma","SID530867"
"S2_007",63.2359456954393,30.7930369467904,3.09159950816746,2.58389912534912,0.0216616358925673,"2021_JunY_2","adenoma","S2_007"
"CCIS35092938ST-4-0",39.8144423161763,54.1910415421816,4.71446521212257,0.978516901117434,0.0352820948115552,"2014_ZellerG","adenoma","CCIS35092938ST-4-0"
"S3_013",71.7805418216764,22.2243274011664,3.25825178373042,2.55056131435664,0.0145416169820301,"2021_JunY_2","adenoma","S3_013"
