"","all-Median","all-low-CI","all-high-CI","all-p-value"
"Daldinia sp. EC12",0.0973869257389714,0.0665275923991447,0.128008073423253,7.0808905574257e-10
"Hypoxylon sp. EC38",0.0233210085302351,-0.0207482739281258,0.0674402917174057,0.300750227447987
"Hypoxylon sp. CI-4A",0.195727033542331,0.16628215263595,0.225194242349944,3.03892466138393e-38
"Hypoxylon sp. CO27-5",-0.624419051413225,-0.671507827855598,-0.57725432123617,3.78461859634052e-139
"Phaeoacremonium minimum",-0.225280901106749,-0.245728290489941,-0.204785463472347,1.9058992913555e-98
"Coniochaeta ligniaria",0.376893768282937,0.347255427189453,0.406678937210973,3.73830729631639e-134
"Pyricularia grisea",-0.0416794765529696,-0.0693163180696402,-0.0141764832646543,0.00297660294387869
"Pyricularia oryzae",-0.316104408813902,-0.342346208735451,-0.289860485552302,3.33041958065437e-121
"Pyricularia pennisetigena",-0.00438073605362595,-0.0384667632397446,0.0294929321942122,0.799139220712651
"Coniella lustricola",0.10492373087577,0.0810383985583482,0.12868463991328,1.17806019140788e-17
"Valsa mali",-0.050224134259521,-0.0729986933606834,-0.0275515322643226,1.41444535697535e-05
"Diaporthe ampelina",0.0346580553429972,0.0092334639221503,0.0601548723956981,0.00739653431425491
"Diaporthe helianthi",0.0138595735448343,-0.0124442134359602,0.0402500369125431,0.299512851132203
"Grosmannia clavigera",-0.0581981122526556,-0.0867398677017189,-0.0296757305362073,6.39999124702244e-05
"Ophiostoma piceae",-0.0289889463040649,-0.0544770373630528,-0.00351481745606621,0.0257573592427334
"Sporothrix schenckii",0.149671778309574,0.10365154287884,0.196169493504176,2.15963507918934e-10
"Sporothrix brasiliensis",0.0664008734595468,0.0364895513121431,0.0962811879541242,1.42658668795855e-05
"Sporothrix insectorum",-0.232088756912774,-0.261369515309478,-0.202832102824419,7.51654710704587e-53
"Madurella mycetomatis",-0.0770748083594086,-0.107889636643832,-0.0462807180411852,9.5408541158469e-07
"Podospora anserina",-0.0476302251164335,-0.0760682353766398,-0.0191712285829972,0.00102296635247762
"Sordaria macrospora",-0.0178888169858951,-0.0451160772448596,0.00915241670486702,0.194701011185297
"Neurospora discreta",0.0138978536513244,-0.0145119060211389,0.0424003329911032,0.338140928239269
"Neurospora tetrasperma",-0.120467254278779,-0.166615196677472,-0.0744850243622958,2.81040765847742e-07
"Neurospora crassa",0.139901723379895,0.109065550527766,0.170698065001175,9.66814546781025e-19
"Chaetomium thermophilum",-0.100700085595582,-0.129554434844636,-0.0717907510572935,8.91005435180296e-12
"Chaetomium globosum",0.024644741133264,-0.0048356898173584,0.0541100711192404,0.101360953512674
"Thermothelomyces thermophilus",-0.073976248799376,-0.103887496095264,-0.0440405507063821,1.2279389884945e-06
"Thielavia terrestris",0.190526974646152,0.163161669154907,0.217799179877118,1.08361195481501e-41
"Lomentospora prolificans",0.230245335758391,0.203635521191643,0.256916894903933,5.11930236123517e-64
"Thielaviopsis punctulata",0.375433072777268,0.34511155523184,0.405949079525539,3.39819503312973e-125
"Ceratocystis platani",-0.419879435908857,-0.455975442160435,-0.383793775485138,8.06487438842109e-109
