"","2014_ZellerG-Median","2014_ZellerG-low-CI","2014_ZellerG-high-CI","2014_ZellerG-p-value","2015_FengQ-Median","2015_FengQ-low-CI","2015_FengQ-high-CI","2015_FengQ-p-value"
"Pseudogymnoascus sp. VKM F-3808",0.30496314524637,0.225859414167617,0.386068873719091,1.01224561400123e-14,-0.328543318794655,-0.510735717759865,-0.148254814507103,0.000331391860471827
"Pseudogymnoascus sp. 03VT05",-0.170317459525654,-0.223757145675577,-0.116800481555238,4.73881574693129e-10,0.0413935895206318,-0.0628201790918716,0.144692867480377,0.438632546834363
"Pseudogymnoascus sp. 23342-1-I1",-0.439516272482344,-0.490414508948466,-0.388198712128448,1.87660881650578e-61,-0.132736760520626,-0.190846443078139,-0.0739731637304215,1.11358990285288e-05
"Pseudogymnoascus sp. VKM F-103",-0.157831314063126,-0.271696370026438,-0.0481609868105254,0.00437203683196689,-0.173513461379184,-0.339190404300215,0.000401018997399579,0.0504629680871212
"Pseudogymnoascus sp. VKM F-4518 (FW-2643)",1.13352306011262,1.02050907958672,1.24732966752836,3.76716647774689e-82,0.433479919270149,0.296147893310479,0.566873940811348,3.21770085487445e-10
"Pseudogymnoascus sp. VKM F-4513 (FW-928)",-0.4125691102565,-0.475973456324125,-0.348935295929196,2.58349373401982e-35,-0.952379133326016,-1.07413454968013,-0.832492997051013,2.53589281859309e-53
"Pseudogymnoascus destructans",-0.0284787192281045,-0.0896327520943681,0.0326921026406077,0.363802387828485,0.137354686133097,0.0463667479742824,0.228802121178066,0.00297254190106575
"Glarea lozoyensis",0.0277122534594439,-0.0244635856013283,0.0801176770035866,0.29700013541984,-0.0797254887675063,-0.163708497013574,0.00341760196744872,0.0601479042436187
"Rutstroemia sp. NJR-2017a BBW",-0.615819340356378,-0.683243378577952,-0.54812981620086,1.007885580773e-68,-0.37468258285137,-0.481944272387519,-0.267475640653782,6.38955794000185e-12
"Rutstroemia sp. NJR-2017a BVV2",-0.238198381101798,-0.283216751199026,-0.192880968137799,2.44553968149306e-24,-0.0402563870136171,-0.102835744083469,0.0224256013054816,0.205613905130907
"Rutstroemia sp. NJR-2017a WRK4",-0.42653475513011,-0.481545477736451,-0.371684415505879,1.05471129425373e-50,-0.709601234256455,-0.815742432414444,-0.606064457258036,1.66638023025273e-38
"Pezoloma ericae",-0.708801802370307,-0.758829762242083,-0.658647126796333,2.80832221503011e-144,-0.24438327382435,-0.308177564981948,-0.181217189547599,6.51411053769802e-14
"Diplocarpon rosae",0.0566256809011332,0.0223137584597467,0.0909902144882031,0.00123312793472694,0.256918675042628,0.197778283197839,0.315856748607224,4.65257859119454e-17
"Marssonina brunnea",-0.283869648502753,-0.330073464218686,-0.237650119157533,3.44200063124782e-33,0.67085319611777,0.607110744350129,0.735044217900766,3.78623849460991e-81
"Hyaloscypha variabilis",-0.571028364481,-0.612681422099027,-0.529867422938163,8.70625176143105e-142,-0.221692728415634,-0.281190280731127,-0.16355841004438,1.39246567284007e-13
"Hyaloscypha bicolor",-0.255332905366096,-0.302224455561065,-0.208611290906234,1.95709567056794e-26,0.0989452476245457,0.0416243148036038,0.156729198514439,0.0006753775798898
"Phialocephala subalpina",-0.403343354938426,-0.44845995897381,-0.358484107770035,4.61493524391452e-71,0.170657818103312,0.113074680517224,0.228579924255117,9.11083452415126e-09
"Cadophora sp. DSE1049",-0.34549934730916,-0.379370508970609,-0.312024840785381,5.56253422625134e-88,-0.281513164327551,-0.333667260029728,-0.229482576015079,9.85903358474192e-25
"Rhynchosporium secalis",-0.450797157715728,-0.510667068660935,-0.39078256424293,3.52538136932537e-47,-0.145333681914897,-0.256601814811665,-0.0346286564192893,0.0101028325712015
"Rhynchosporium commune",-0.39765815439062,-0.475595096008181,-0.320524150238527,1.44567760072964e-24,-0.983287420238229,-1.09558621816423,-0.872392172895287,1.8720555070011e-66
"Rhynchosporium agropyri",-0.166778078156182,-0.225504285592576,-0.108233943171171,2.05429310806536e-08,-0.294644909912177,-0.37367838956544,-0.216347918105941,3.99569073440112e-13
"Botrytis cinerea",-0.173025299768486,-0.221196436079686,-0.125952253560235,3.47374054029565e-13,0.0587774296272642,0.000496697316281914,0.116200629631256,0.0481703172148981
"Sclerotinia sclerotiorum",0.110365007791929,0.0615856381483444,0.158958549307305,9.73850335021783e-06,0.286040861862777,0.213831377710507,0.359786528735963,1.81794631499798e-14
