"","p_values","adj_pvalue"
"Metarhizium rileyi",0.333753648363143,0.522704126536986
"Metarhizium album",0.476858412485503,0.636560357980859
"Escovopsis weberi",0.504521187374364,0.659955676175811
"Trichoderma asperellum",0.486175186675583,0.642445782392735
"Trichoderma reesei",0.122837880276793,0.283504810296009
"Trichoderma guizhouense",0.0365051990516474,0.127545068043955
"Trichoderma atroviride",4.9024699415803e-05,0.0013192100933707
"Neonectria ditissima",0.0399237821037686,0.135832637962247
"Fusarium verticillioides",0.0759615351063789,0.213797658436557
"Fusarium oxysporum",0.528549941009655,0.671462586003682
"Fusarium pseudograminearum",0.936499640305908,0.969657260200558
"Fusarium venenatum",0.953277914589062,0.969657260200558
