Sample	raw pair1	raw pair2	trimmed pair1	trimmed pair2	trimmed orphan1	trimmed orphan2	decontaminated Homo_sapiens pair1	decontaminated Homo_sapiens pair2	decontaminated Homo_sapiens orphan1	decontaminated Homo_sapiens orphan2	final pair1	final pair2	final orphan1	final orphan2
CCIS64773582ST-4-0	43574702.0	43574702.0	42105971.0	42105971.0	771830.0	655211.0	42104569.0	42104569.0	772246.0	655647.0	42104569.0	42104569.0	772246.0	655647.0
CCIS64785924ST-20-0	5953194.0	5953194.0	5721272.0	5721272.0	134177.0	87981.0	5719768.0	5719768.0	134740.0	88572.0	5719768.0	5719768.0	134740.0	88572.0
CCIS65479369ST-4-0	7732781.0	7732781.0	7329557.0	7329557.0	245007.0	143726.0	7265397.0	7265397.0	268253.0	165206.0	7265397.0	7265397.0	268253.0	165206.0
CCIS70398272ST-4-0	36295986.0	36295986.0	34740522.0	34740522.0	844152.0	655453.0	34740344.0	34740344.0	844210.0	655492.0	34740344.0	34740344.0	844210.0	655492.0
CCIS71301801ST-4-0	45032701.0	45032701.0	43107989.0	43107989.0	1129476.0	725779.0	43107541.0	43107541.0	1129603.0	725890.0	43107541.0	43107541.0	1129603.0	725890.0
CCIS71578391ST-4-0	34251424.0	34251424.0	32563185.0	32563185.0	1132921.0	495763.0	32562741.0	32562741.0	1133066.0	495908.0	32562741.0	32562741.0	1133066.0	495908.0
CCIS72607085ST-4-0	21729304.0	21729304.0	20664588.0	20664588.0	610608.0	416888.0	20664252.0	20664252.0	610772.0	417015.0	20664252.0	20664252.0	610772.0	417015.0
CCIS74239020ST-4-0	28128807.0	28128807.0	26848874.0	26848874.0	836343.0	396656.0	26848326.0	26848326.0	836544.0	396848.0	26848326.0	26848326.0	836544.0	396848.0
CCIS74726977ST-3-0	62926247.0	62926247.0	58528169.0	58528169.0	1749478.0	2428874.0	58527335.0	58527335.0	1749699.0	2429196.0	58527335.0	58527335.0	1749699.0	2429196.0
CCIS76563044ST-4-0	35200771.0	35200771.0	28866880.0	28866880.0	779694.0	5348611.0	28866574.0	28866574.0	779778.0	5348675.0	28866574.0	28866574.0	779778.0	5348675.0
