"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"k__Bacteria|p__Armatimonadetes|c__Chthonomonadetes|o__Chthonomonadales|f__Chthonomonadaceae|g__Chthonomonas","Bacteria","Armatimonadetes","Chthonomonadetes","Chthonomonadales","Chthonomonadaceae","Chthonomonas",NA
"k__Bacteria|p__Armatimonadetes|c__Chthonomonadetes|o__Chthonomonadales|f__Chthonomonadaceae|g__Chthonomonas|s__Chthonomonas_calidirosea","Bacteria","Armatimonadetes","Chthonomonadetes","Chthonomonadales","Chthonomonadaceae","Chthonomonas","Chthonomonas calidirosea"
"k__Bacteria|p__Armatimonadetes|c__Fimbriimonadia","Bacteria","Armatimonadetes","Fimbriimonadia",NA,NA,NA,NA
"k__Bacteria|p__Armatimonadetes|c__Fimbriimonadia|o__Fimbriimonadales","Bacteria","Armatimonadetes","Fimbriimonadia","Fimbriimonadales",NA,NA,NA
"k__Bacteria|p__Armatimonadetes|c__Fimbriimonadia|o__Fimbriimonadales|f__Fimbriimonadaceae","Bacteria","Armatimonadetes","Fimbriimonadia","Fimbriimonadales","Fimbriimonadaceae",NA,NA
"k__Bacteria|p__Armatimonadetes|c__Fimbriimonadia|o__Fimbriimonadales|f__Fimbriimonadaceae|g__Fimbriimonas","Bacteria","Armatimonadetes","Fimbriimonadia","Fimbriimonadales","Fimbriimonadaceae","Fimbriimonas",NA
"k__Bacteria|p__Armatimonadetes|c__Fimbriimonadia|o__Fimbriimonadales|f__Fimbriimonadaceae|g__Fimbriimonas|s__Fimbriimonas_ginsengisoli","Bacteria","Armatimonadetes","Fimbriimonadia","Fimbriimonadales","Fimbriimonadaceae","Fimbriimonas","Fimbriimonas ginsengisoli"
"k__Bacteria|p__Chloroflexi","Bacteria","Chloroflexi",NA,NA,NA,NA,NA
"k__Bacteria|p__Chloroflexi|c__Caldilineae","Bacteria","Chloroflexi","Caldilineae",NA,NA,NA,NA
"k__Bacteria|p__Chloroflexi|c__Caldilineae|o__Caldilineales","Bacteria","Chloroflexi","Caldilineae","Caldilineales",NA,NA,NA
"k__Bacteria|p__Chloroflexi|c__Caldilineae|o__Caldilineales|f__Caldilineaceae","Bacteria","Chloroflexi","Caldilineae","Caldilineales","Caldilineaceae",NA,NA
"k__Bacteria|p__Chloroflexi|c__Caldilineae|o__Caldilineales|f__Caldilineaceae|g__Caldilinea","Bacteria","Chloroflexi","Caldilineae","Caldilineales","Caldilineaceae","Caldilinea",NA
"k__Bacteria|p__Chloroflexi|c__Caldilineae|o__Caldilineales|f__Caldilineaceae|g__Caldilinea|s__Caldilinea_aerophila","Bacteria","Chloroflexi","Caldilineae","Caldilineales","Caldilineaceae","Caldilinea","Caldilinea aerophila"
"k__Bacteria|p__Chloroflexi|c__Ktedonobacteria","Bacteria","Chloroflexi","Ktedonobacteria",NA,NA,NA,NA
"k__Bacteria|p__Chloroflexi|c__Ktedonobacteria|o__Ktedonobacterales","Bacteria","Chloroflexi","Ktedonobacteria","Ktedonobacterales",NA,NA,NA
"k__Bacteria|p__Chloroflexi|c__Ktedonobacteria|o__Ktedonobacterales|s__Ktedonobacterales_bacterium_SCAWS-G2","Bacteria","Chloroflexi","Ktedonobacteria","Ktedonobacterales",NA,NA,"Ktedonobacterales bacterium SCAWS-G2"
"k__Bacteria|p__Chloroflexi|c__Thermomicrobia","Bacteria","Chloroflexi","Thermomicrobia",NA,NA,NA,NA
"k__Bacteria|p__Chloroflexi|c__Thermomicrobia|o__Thermomicrobiales","Bacteria","Chloroflexi","Thermomicrobia","Thermomicrobiales",NA,NA,NA
"k__Bacteria|p__Chloroflexi|c__Thermomicrobia|o__Thermomicrobiales|f__Thermomicrobiaceae","Bacteria","Chloroflexi","Thermomicrobia","Thermomicrobiales","Thermomicrobiaceae",NA,NA
"k__Bacteria|p__Chloroflexi|c__Thermomicrobia|o__Thermomicrobiales|f__Thermomicrobiaceae|g__Thermomicrobium","Bacteria","Chloroflexi","Thermomicrobia","Thermomicrobiales","Thermomicrobiaceae","Thermomicrobium",NA
"k__Bacteria|p__Chloroflexi|c__Thermomicrobia|o__Thermomicrobiales|f__Thermomicrobiaceae|g__Thermomicrobium|s__Thermomicrobium_roseum","Bacteria","Chloroflexi","Thermomicrobia","Thermomicrobiales","Thermomicrobiaceae","Thermomicrobium","Thermomicrobium roseum"
"k__Bacteria|p__Chloroflexi|c__Thermomicrobia|o__Sphaerobacterales","Bacteria","Chloroflexi","Thermomicrobia","Sphaerobacterales",NA,NA,NA
"k__Bacteria|p__Chloroflexi|c__Thermomicrobia|o__Sphaerobacterales|f__Sphaerobacteraceae","Bacteria","Chloroflexi","Thermomicrobia","Sphaerobacterales","Sphaerobacteraceae",NA,NA
"k__Bacteria|p__Chloroflexi|c__Thermomicrobia|o__Sphaerobacterales|f__Sphaerobacteraceae|g__Sphaerobacter","Bacteria","Chloroflexi","Thermomicrobia","Sphaerobacterales","Sphaerobacteraceae","Sphaerobacter",NA
"k__Bacteria|p__Chloroflexi|c__Thermomicrobia|o__Sphaerobacterales|f__Sphaerobacteraceae|g__Sphaerobacter|s__Sphaerobacter_thermophilus","Bacteria","Chloroflexi","Thermomicrobia","Sphaerobacterales","Sphaerobacteraceae","Sphaerobacter","Sphaerobacter thermophilus"
"k__Bacteria|p__Chloroflexi|s__Chloroflexi_bacterium_3753O","Bacteria","Chloroflexi",NA,NA,NA,NA,"Chloroflexi bacterium 3753O"
"k__Bacteria|p__Chloroflexi|c__Ardenticatenia","Bacteria","Chloroflexi","Ardenticatenia",NA,NA,NA,NA
"k__Bacteria|p__Chloroflexi|c__Ardenticatenia|o__Ardenticatenales","Bacteria","Chloroflexi","Ardenticatenia","Ardenticatenales",NA,NA,NA
"k__Bacteria|p__Chloroflexi|c__Ardenticatenia|o__Ardenticatenales|f__Ardenticatenaceae","Bacteria","Chloroflexi","Ardenticatenia","Ardenticatenales","Ardenticatenaceae",NA,NA
"k__Bacteria|p__Chloroflexi|c__Ardenticatenia|o__Ardenticatenales|f__Ardenticatenaceae|g__Candidatus_Promineofilum","Bacteria","Chloroflexi","Ardenticatenia","Ardenticatenales","Ardenticatenaceae","Candidatus Promineofilum",NA
"k__Bacteria|p__Chloroflexi|c__Ardenticatenia|o__Ardenticatenales|f__Ardenticatenaceae|g__Candidatus_Promineofilum|s__Candidatus_Promineofilum_breve","Bacteria","Chloroflexi","Ardenticatenia","Ardenticatenales","Ardenticatenaceae","Candidatus Promineofilum","Candidatus Promineofilum breve"
"k__Bacteria|p__Chloroflexi|c__Chloroflexia","Bacteria","Chloroflexi","Chloroflexia",NA,NA,NA,NA
"k__Bacteria|p__Chloroflexi|c__Chloroflexia|o__Chloroflexales","Bacteria","Chloroflexi","Chloroflexia","Chloroflexales",NA,NA,NA
"k__Bacteria|p__Chloroflexi|c__Chloroflexia|o__Chloroflexales|f__Chloroflexaceae","Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Chloroflexaceae",NA,NA
"k__Bacteria|p__Chloroflexi|c__Chloroflexia|o__Chloroflexales|f__Chloroflexaceae|g__Chloroflexus","Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Chloroflexaceae","Chloroflexus",NA
"k__Bacteria|p__Chloroflexi|c__Chloroflexia|o__Chloroflexales|f__Chloroflexaceae|g__Chloroflexus|s__Chloroflexus_aggregans","Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Chloroflexaceae","Chloroflexus","Chloroflexus aggregans"
"k__Bacteria|p__Chloroflexi|c__Chloroflexia|o__Chloroflexales|f__Chloroflexaceae|g__Chloroflexus|s__Chloroflexus_aurantiacus","Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Chloroflexaceae","Chloroflexus","Chloroflexus aurantiacus"
"k__Bacteria|p__Chloroflexi|c__Chloroflexia|o__Chloroflexales|f__Roseiflexaceae","Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Roseiflexaceae",NA,NA
"k__Bacteria|p__Chloroflexi|c__Chloroflexia|o__Chloroflexales|f__Roseiflexaceae|g__Roseiflexus","Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Roseiflexaceae","Roseiflexus",NA
"k__Bacteria|p__Chloroflexi|c__Chloroflexia|o__Chloroflexales|f__Roseiflexaceae|g__Roseiflexus|s__Roseiflexus_castenholzii","Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Roseiflexaceae","Roseiflexus","Roseiflexus castenholzii"
"k__Bacteria|p__Chloroflexi|c__Chloroflexia|o__Chloroflexales|f__Roseiflexaceae|g__Roseiflexus|s__Roseiflexus_sp._RS-1","Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Roseiflexaceae","Roseiflexus","Roseiflexus sp. RS-1"
"k__Bacteria|p__Chloroflexi|c__Anaerolineae","Bacteria","Chloroflexi","Anaerolineae",NA,NA,NA,NA
"k__Bacteria|p__Chloroflexi|c__Anaerolineae|o__Anaerolineales","Bacteria","Chloroflexi","Anaerolineae","Anaerolineales",NA,NA,NA
"k__Bacteria|p__Chloroflexi|c__Anaerolineae|o__Anaerolineales|f__Anaerolineaceae","Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae",NA,NA
"k__Bacteria|p__Chloroflexi|c__Anaerolineae|o__Anaerolineales|f__Anaerolineaceae|g__Brevefilum","Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","Brevefilum",NA
"k__Bacteria|p__Chloroflexi|c__Anaerolineae|o__Anaerolineales|f__Anaerolineaceae|g__Brevefilum|s__Brevefilum_fermentans","Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","Brevefilum","Brevefilum fermentans"
"k__Bacteria|p__Chloroflexi|c__Anaerolineae|o__Anaerolineales|f__Anaerolineaceae|g__Anaerolinea","Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","Anaerolinea",NA
"k__Bacteria|p__Chloroflexi|c__Anaerolineae|o__Anaerolineales|f__Anaerolineaceae|g__Anaerolinea|s__Anaerolinea_thermophila","Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","Anaerolinea","Anaerolinea thermophila"
"k__Bacteria|p__Chloroflexi|c__Anaerolineae|o__Anaerolineales|f__Anaerolineaceae|g__Pelolinea","Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","Pelolinea",NA
"k__Bacteria|p__Chloroflexi|c__Anaerolineae|o__Anaerolineales|f__Anaerolineaceae|g__Pelolinea|s__Pelolinea_submarina","Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","Pelolinea","Pelolinea submarina"
"k__Bacteria|p__Chloroflexi|c__Dehalococcoidia","Bacteria","Chloroflexi","Dehalococcoidia",NA,NA,NA,NA
"k__Bacteria|p__Chloroflexi|c__Dehalococcoidia|g__Dehalogenimonas","Bacteria","Chloroflexi","Dehalococcoidia",NA,NA,"Dehalogenimonas",NA
"k__Bacteria|p__Chloroflexi|c__Dehalococcoidia|g__Dehalogenimonas|s__Dehalogenimonas_lykanthroporepellens","Bacteria","Chloroflexi","Dehalococcoidia",NA,NA,"Dehalogenimonas","Dehalogenimonas lykanthroporepellens"
"k__Bacteria|p__Chloroflexi|c__Dehalococcoidia|g__Dehalogenimonas|s__Dehalogenimonas_formicexedens","Bacteria","Chloroflexi","Dehalococcoidia",NA,NA,"Dehalogenimonas","Dehalogenimonas formicexedens"
"k__Bacteria|p__Chloroflexi|c__Dehalococcoidia|g__Dehalogenimonas|s__Dehalogenimonas_sp._GP","Bacteria","Chloroflexi","Dehalococcoidia",NA,NA,"Dehalogenimonas","Dehalogenimonas sp. GP"
"k__Bacteria|p__Chloroflexi|c__Dehalococcoidia|o__Dehalococcoidales","Bacteria","Chloroflexi","Dehalococcoidia","Dehalococcoidales",NA,NA,NA
"k__Bacteria|p__Chloroflexi|c__Dehalococcoidia|o__Dehalococcoidales|f__Dehalococcoidaceae","Bacteria","Chloroflexi","Dehalococcoidia","Dehalococcoidales","Dehalococcoidaceae",NA,NA
"k__Bacteria|p__Chloroflexi|c__Dehalococcoidia|o__Dehalococcoidales|f__Dehalococcoidaceae|g__Dehalococcoides","Bacteria","Chloroflexi","Dehalococcoidia","Dehalococcoidales","Dehalococcoidaceae","Dehalococcoides",NA
"k__Bacteria|p__Chloroflexi|c__Dehalococcoidia|o__Dehalococcoidales|f__Dehalococcoidaceae|g__Dehalococcoides|s__Dehalococcoides_sp._UCH007","Bacteria","Chloroflexi","Dehalococcoidia","Dehalococcoidales","Dehalococcoidaceae","Dehalococcoides","Dehalococcoides sp. UCH007"
"k__Bacteria|p__Chloroflexi|c__Dehalococcoidia|o__Dehalococcoidales|f__Dehalococcoidaceae|g__Dehalococcoides|s__Dehalococcoides_mccartyi","Bacteria","Chloroflexi","Dehalococcoidia","Dehalococcoidales","Dehalococcoidaceae","Dehalococcoides","Dehalococcoides mccartyi"
"k__Bacteria|p__Deinococcus-Thermus","Bacteria","Deinococcus-Thermus",NA,NA,NA,NA,NA
"k__Bacteria|p__Deinococcus-Thermus|c__Deinococci","Bacteria","Deinococcus-Thermus","Deinococci",NA,NA,NA,NA
"k__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Thermales","Bacteria","Deinococcus-Thermus","Deinococci","Thermales",NA,NA,NA
"k__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Thermales|f__Thermaceae","Bacteria","Deinococcus-Thermus","Deinococci","Thermales","Thermaceae",NA,NA
"k__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Thermales|f__Thermaceae|g__Oceanithermus","Bacteria","Deinococcus-Thermus","Deinococci","Thermales","Thermaceae","Oceanithermus",NA
"k__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Thermales|f__Thermaceae|g__Oceanithermus|s__Oceanithermus_profundus","Bacteria","Deinococcus-Thermus","Deinococci","Thermales","Thermaceae","Oceanithermus","Oceanithermus profundus"
"k__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Thermales|f__Thermaceae|g__Marinithermus","Bacteria","Deinococcus-Thermus","Deinococci","Thermales","Thermaceae","Marinithermus",NA
"k__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Thermales|f__Thermaceae|g__Marinithermus|s__Marinithermus_hydrothermalis","Bacteria","Deinococcus-Thermus","Deinococci","Thermales","Thermaceae","Marinithermus","Marinithermus hydrothermalis"
"k__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Thermales|f__Thermaceae|g__Meiothermus","Bacteria","Deinococcus-Thermus","Deinococci","Thermales","Thermaceae","Meiothermus",NA
"k__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Thermales|f__Thermaceae|g__Meiothermus|s__Meiothermus_ruber","Bacteria","Deinococcus-Thermus","Deinococci","Thermales","Thermaceae","Meiothermus","Meiothermus ruber"
"k__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Thermales|f__Thermaceae|g__Meiothermus|s__Meiothermus_taiwanensis","Bacteria","Deinococcus-Thermus","Deinococci","Thermales","Thermaceae","Meiothermus","Meiothermus taiwanensis"
"k__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Thermales|f__Thermaceae|g__Meiothermus|s__Meiothermus_silvanus","Bacteria","Deinococcus-Thermus","Deinococci","Thermales","Thermaceae","Meiothermus","Meiothermus silvanus"
"k__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Thermales|f__Thermaceae|g__Thermus","Bacteria","Deinococcus-Thermus","Deinococci","Thermales","Thermaceae","Thermus",NA
"k__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Thermales|f__Thermaceae|g__Thermus|s__Thermus_parvatiensis","Bacteria","Deinococcus-Thermus","Deinococci","Thermales","Thermaceae","Thermus","Thermus parvatiensis"
"k__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Thermales|f__Thermaceae|g__Thermus|s__Thermus_brockianus","Bacteria","Deinococcus-Thermus","Deinococci","Thermales","Thermaceae","Thermus","Thermus brockianus"
"k__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Thermales|f__Thermaceae|g__Thermus|s__Thermus_thermophilus","Bacteria","Deinococcus-Thermus","Deinococci","Thermales","Thermaceae","Thermus","Thermus thermophilus"
"k__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Thermales|f__Thermaceae|g__Thermus|s__Thermus_scotoductus","Bacteria","Deinococcus-Thermus","Deinococci","Thermales","Thermaceae","Thermus","Thermus scotoductus"
"k__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Thermales|f__Thermaceae|g__Thermus|s__Thermus_sp._YIM_78456","Bacteria","Deinococcus-Thermus","Deinococci","Thermales","Thermaceae","Thermus","Thermus sp. YIM 78456"
"k__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Thermales|f__Thermaceae|g__Thermus|s__Thermus_sp._CCB_US3_UF1","Bacteria","Deinococcus-Thermus","Deinococci","Thermales","Thermaceae","Thermus","Thermus sp. CCB US3 UF1"
"k__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Thermales|f__Thermaceae|g__Thermus|s__Thermus_oshimai","Bacteria","Deinococcus-Thermus","Deinococci","Thermales","Thermaceae","Thermus","Thermus oshimai"
"k__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Thermales|f__Thermaceae|g__Thermus|s__Thermus_aquaticus","Bacteria","Deinococcus-Thermus","Deinococci","Thermales","Thermaceae","Thermus","Thermus aquaticus"
"k__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Deinococcales","Bacteria","Deinococcus-Thermus","Deinococci","Deinococcales",NA,NA,NA
"k__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Deinococcales|f__Trueperaceae","Bacteria","Deinococcus-Thermus","Deinococci","Deinococcales","Trueperaceae",NA,NA
"k__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Deinococcales|f__Trueperaceae|g__Truepera","Bacteria","Deinococcus-Thermus","Deinococci","Deinococcales","Trueperaceae","Truepera",NA
"k__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Deinococcales|f__Trueperaceae|g__Truepera|s__Truepera_radiovictrix","Bacteria","Deinococcus-Thermus","Deinococci","Deinococcales","Trueperaceae","Truepera","Truepera radiovictrix"
"k__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Deinococcales|f__Deinococcaceae","Bacteria","Deinococcus-Thermus","Deinococci","Deinococcales","Deinococcaceae",NA,NA
"k__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Deinococcales|f__Deinococcaceae|g__Deinococcus","Bacteria","Deinococcus-Thermus","Deinococci","Deinococcales","Deinococcaceae","Deinococcus",NA
"k__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Deinococcales|f__Deinococcaceae|g__Deinococcus|s__Deinococcus_sp._NW-56","Bacteria","Deinococcus-Thermus","Deinococci","Deinococcales","Deinococcaceae","Deinococcus","Deinococcus sp. NW-56"
"k__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Deinococcales|f__Deinococcaceae|g__Deinococcus|s__Deinococcus_soli_Cha_et_al._2016","Bacteria","Deinococcus-Thermus","Deinococci","Deinococcales","Deinococcaceae","Deinococcus","Deinococcus soli Cha et al. 2016"
"k__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Deinococcales|f__Deinococcaceae|g__Deinococcus|s__Deinococcus_sp._S14-83","Bacteria","Deinococcus-Thermus","Deinococci","Deinococcales","Deinococcaceae","Deinococcus","Deinococcus sp. S14-83"
"k__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Deinococcales|f__Deinococcaceae|g__Deinococcus|s__Deinococcus_radiodurans","Bacteria","Deinococcus-Thermus","Deinococci","Deinococcales","Deinococcaceae","Deinococcus","Deinococcus radiodurans"
"k__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Deinococcales|f__Deinococcaceae|g__Deinococcus|s__Deinococcus_puniceus","Bacteria","Deinococcus-Thermus","Deinococci","Deinococcales","Deinococcaceae","Deinococcus","Deinococcus puniceus"
"k__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Deinococcales|f__Deinococcaceae|g__Deinococcus|s__Deinococcus_peraridilitoris","Bacteria","Deinococcus-Thermus","Deinococci","Deinococcales","Deinococcaceae","Deinococcus","Deinococcus peraridilitoris"
"k__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Deinococcales|f__Deinococcaceae|g__Deinococcus|s__Deinococcus_geothermalis","Bacteria","Deinococcus-Thermus","Deinococci","Deinococcales","Deinococcaceae","Deinococcus","Deinococcus geothermalis"
"k__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Deinococcales|f__Deinococcaceae|g__Deinococcus|s__Deinococcus_actinosclerus","Bacteria","Deinococcus-Thermus","Deinococci","Deinococcales","Deinococcaceae","Deinococcus","Deinococcus actinosclerus"
"k__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Deinococcales|f__Deinococcaceae|g__Deinococcus|s__Deinococcus_irradiatisoli","Bacteria","Deinococcus-Thermus","Deinococci","Deinococcales","Deinococcaceae","Deinococcus","Deinococcus irradiatisoli"
"k__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Deinococcales|f__Deinococcaceae|g__Deinococcus|s__Deinococcus_ficus","Bacteria","Deinococcus-Thermus","Deinococci","Deinococcales","Deinococcaceae","Deinococcus","Deinococcus ficus"
"k__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Deinococcales|f__Deinococcaceae|g__Deinococcus|s__Deinococcus_wulumuqiensis","Bacteria","Deinococcus-Thermus","Deinococci","Deinococcales","Deinococcaceae","Deinococcus","Deinococcus wulumuqiensis"
"k__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Deinococcales|f__Deinococcaceae|g__Deinococcus|s__Deinococcus_maricopensis","Bacteria","Deinococcus-Thermus","Deinococci","Deinococcales","Deinococcaceae","Deinococcus","Deinococcus maricopensis"
"k__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Deinococcales|f__Deinococcaceae|g__Deinococcus|s__Deinococcus_swuensis","Bacteria","Deinococcus-Thermus","Deinococci","Deinococcales","Deinococcaceae","Deinococcus","Deinococcus swuensis"
"k__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Deinococcales|f__Deinococcaceae|g__Deinococcus|s__Deinococcus_deserti","Bacteria","Deinococcus-Thermus","Deinococci","Deinococcales","Deinococcaceae","Deinococcus","Deinococcus deserti"
"k__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Deinococcales|f__Deinococcaceae|g__Deinococcus|s__Deinococcus_gobiensis","Bacteria","Deinococcus-Thermus","Deinococci","Deinococcales","Deinococcaceae","Deinococcus","Deinococcus gobiensis"
"k__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Deinococcales|f__Deinococcaceae|g__Deinococcus|s__Deinococcus_metallilatus","Bacteria","Deinococcus-Thermus","Deinococci","Deinococcales","Deinococcaceae","Deinococcus","Deinococcus metallilatus"
"k__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Deinococcales|f__Deinococcaceae|g__Deinococcus|s__Deinococcus_proteolyticus","Bacteria","Deinococcus-Thermus","Deinococci","Deinococcales","Deinococcaceae","Deinococcus","Deinococcus proteolyticus"
"k__Bacteria|p__Cyanobacteria","Bacteria","Cyanobacteria",NA,NA,NA,NA,NA
"k__Bacteria|p__Cyanobacteria|o__Gloeoemargaritales","Bacteria","Cyanobacteria",NA,"Gloeoemargaritales",NA,NA,NA
"k__Bacteria|p__Cyanobacteria|o__Gloeoemargaritales|f__Gloeomargaritaceae","Bacteria","Cyanobacteria",NA,"Gloeoemargaritales","Gloeomargaritaceae",NA,NA
"k__Bacteria|p__Cyanobacteria|o__Gloeoemargaritales|f__Gloeomargaritaceae|g__Gloeomargarita","Bacteria","Cyanobacteria",NA,"Gloeoemargaritales","Gloeomargaritaceae","Gloeomargarita",NA
"k__Bacteria|p__Cyanobacteria|o__Gloeoemargaritales|f__Gloeomargaritaceae|g__Gloeomargarita|s__Gloeomargarita_lithophora","Bacteria","Cyanobacteria",NA,"Gloeoemargaritales","Gloeomargaritaceae","Gloeomargarita","Gloeomargarita lithophora"
