"Gene1","Gene2","CRC_cor","CRC_pVal","CTRL_cor","CTRL_pVal","zScoreDiff","pValDiff","empPVals","pValDiff_adj","Classes"
"Streptococcus sp. HSISS3","Lipomyces starkeyi",0.134923219249229,0.00397547647710605,-0.0284265486700034,0.51574848279869,-2.55388389644021,0.0106528771943502,0.0604684684684685,0.469841603301475,"+/0"
"[Eubacterium] eligens","Rhizophagus clarus",0.141823860584094,0.00245467655785259,-0.0207399312744305,0.635407329444355,-2.5436810674114,0.010969118874936,0.060972972972973,0.469841603301475,"+/0"
"Pseudobutyrivibrio xylanivorans","Moniliophthora perniciosa",-0.0646701796249854,0.168949561035317,0.096548924112413,0.026959004868262,2.51384496333445,0.0119422920197042,0.0624144144144144,0.469841603301475,"0/+"
"Streptococcus sp. HSISS2","Schizosaccharomyces pombe",0.174791141038326,0.000181902527357281,0.0163619525224205,0.708381348089534,-2.49253449391197,0.0126835010157863,0.0636396396396396,0.469841603301475,"+/0"
"Bifidobacterium bifidum","Aspergillus kawachii",-0.0322641700262214,0.492873973365058,0.126790287736541,0.00361477293027779,2.48492113634335,0.0129580137582199,0.0641441441441441,0.469841603301475,"0/+"
"Anaerostipes hadrus","Erysiphe pulchra",-0.0290375450774917,0.537145379156119,0.129811394289401,0.00288360472762261,2.48246362176712,0.0130477389715344,0.0642522522522523,0.469841603301475,"0/+"
"Pseudobutyrivibrio xylanivorans","Rhizophagus clarus",0.248495652659367,8.11546339019031e-08,0.0949533652802267,0.0296011845745825,-2.46651688870776,0.013643429438196,0.0651171171171171,0.469841603301475,"+/+"
"Bifidobacterium pseudocatenulatum","Trichophyton mentagrophytes",-0.0199606448376239,0.671436921702718,0.137697330746865,0.00156367410384917,2.46608772340392,0.0136597876058328,0.0652252252252252,0.469841603301475,"0/+"
"Butyrivibrio proteoclasticus","Pneumocystis murina",0.267121689449765,7.41137684556747e-09,0.114753548481264,0.0084942383793063,-2.46545877391007,0.0136837920942857,0.0652252252252252,0.469841603301475,"+/+"
"Dialister pneumosintes","Lipomyces starkeyi",-0.088200760202042,0.0604087988887498,0.0692699329580819,0.112899305062752,2.45474290232954,0.0140985379758402,0.0657297297297297,0.469841603301475,"0/0"
"Parvimonas micra","Aspergillus ochraceoroseus",0.158660802911913,0.000691758781388163,0.00231971317772764,0.957712237299202,-2.45289658800693,0.0141711071593752,0.0658018018018018,0.469841603301475,"+/0"
"Fusobacterium periodonticum","Phytopythium vexans",0.0513323415339531,0.27507193682012,-0.105195845986594,0.0158962865284296,-2.44155835069017,0.0146240248236977,0.0664144144144144,0.469841603301475,"0/-"
"Butyrivibrio proteoclasticus","Rhizophagus clarus",0.241000657208356,2.0175017967361e-07,0.0887197383901017,0.042154909989935,-2.44029217842517,0.0146753871302935,0.0664864864864865,0.469841603301475,"+/+"
"Streptococcus thermophilus","Pseudocercospora musae",0.139865102492698,0.00282078411314157,-0.0156763160852211,0.720077367661224,-2.43380584573252,0.014941006924641,0.0667027027027027,0.469841603301475,"+/0"
"Pseudobutyrivibrio xylanivorans","Pichia kudriavzevii",0.334157786502718,2.64011035255862e-13,0.188945097616492,1.3109217685825e-05,-2.43058313168712,0.015074547439495,0.0668828828828829,0.469841603301475,"+/+"
"Porphyromonas asaccharolytica","Edhazardia aedis",-0.0220431578483352,0.639468715486189,0.132545250832047,0.00234083304617938,2.41686464942144,0.0156548371002828,0.0676396396396396,0.469841603301475,"0/+"
"Dialister pneumosintes","Paracoccidioides brasiliensis",-0.107030094747942,0.0225610046553113,0.0476489835105038,0.275804720325567,2.4129798378118,0.0158226948233811,0.0678198198198198,0.469841603301475,"-/0"
"Bifidobacterium adolescentis","Baudoinia panamericana",0.0127689959501663,0.786134519291652,0.166014361426601,0.000132723660398071,2.40782879544192,0.0160477046005596,0.0681801801801802,0.469841603301475,"0/+"
"Butyrivibrio proteoclasticus","Thielaviopsis punctulata",-0.135679545126933,0.00377475331815891,0.0178633980152716,0.68301023566618,2.40146954629722,0.0163293682082744,0.0684684684684685,0.469841603301475,"-/0"
"Fusobacterium nucleatum","Pneumocystis murina",-0.0693983801727839,0.139838036698336,0.0843294319907743,0.0534749778413657,2.39608086860946,0.0165714337343261,0.0690450450450451,0.469841603301475,"0/0"
"Blautia sp. SC05B48","Albugo candida",0.251200037431066,5.80003751693425e-08,0.102606785786173,0.0186917249464182,-2.39116230464083,0.0167951264164963,0.0692972972972973,0.469841603301475,"+/+"
"Longibaculum sp. KGMB06250","Aspergillus ochraceoroseus",0.00238848887807776,0.959523168676904,0.154800473080984,0.000370923330871742,2.39026749874262,0.0168361052941732,0.0693693693693694,0.469841603301475,"0/+"
"Lactobacillus ruminis","Pneumocystis murina",0.149692505517154,0.00138006646644939,-0.00150743253752996,0.972512483255016,-2.36952877525545,0.0178107690877842,0.0704864864864865,0.469841603301475,"+/0"
"Streptococcus sp. A12","Tuber magnatum",0.161820856663616,0.000537582611153109,0.0109623211921168,0.8021333073927,-2.36890471327037,0.0178408492060285,0.0705225225225225,0.469841603301475,"+/0"
"Blautia sp. SC05B48","Sphaerulina musiva",-0.112480573076996,0.0165001369023665,0.0386311099874379,0.377036454086562,2.35826085203485,0.0183607859238548,0.0713513513513514,0.469841603301475,"-/0"
"Pseudobutyrivibrio xylanivorans","Erysiphe pulchra",-0.0899046562878085,0.0555920160451988,0.0606674554324533,0.165127461090651,2.34708001511376,0.0189211909523385,0.0721441441441441,0.469841603301475,"0/0"
"Streptococcus anginosus","Albugo candida",0.196998745931903,2.36373782676047e-05,0.0492721057857045,0.259759649668161,-2.33784099130318,0.0193954982944456,0.0727567567567568,0.469841603301475,"+/0"
"Roseburia intestinalis","Pneumocystis murina",0.289286630930143,3.34833494264331e-10,0.146452834721915,0.000763157719682717,-2.33749618133883,0.0194133992643691,0.0727567567567568,0.469841603301475,"+/+"
"Streptococcus salivarius","Lipomyces starkeyi",0.14602052085444,0.00181183944359287,-0.00286564530280665,0.947772871521157,-2.33226174447588,0.0196869257316771,0.0731531531531532,0.469841603301475,"+/0"
"[Eubacterium] eligens","Tuber magnatum",0.128489701424641,0.00611424688759987,-0.0203000447744924,0.642596441979141,-2.32556155684924,0.0200419524298808,0.0733333333333333,0.469841603301475,"+/0"
"Porphyromonas asaccharolytica","Phytophthora capsici",0.0575428399977365,0.221059663932311,0.204064874779479,2.42584911958055e-06,2.32334042102645,0.020160871993475,0.0734774774774775,0.469841603301475,"0/+"
"Streptococcus sp. FDAARGOS 192","Lipomyces starkeyi",0.128538618767706,0.00609468614625097,-0.0189280192242387,0.665232418060004,-2.30498530789613,0.0211673962687314,0.0740900900900901,0.469841603301475,"+/0"
"Parvimonas micra","Baudoinia panamericana",-0.060303661147687,0.199656103120763,0.0875517387245744,0.0449488840245498,2.30451062717981,0.0211939964888998,0.0741981981981982,0.469841603301475,"0/+"
"Fusobacterium nucleatum","Choanephora cucurbitarum",-0.0631827179999668,0.178986134468848,0.0831134203665129,0.0570245882629188,2.27992137328711,0.0226123521801739,0.075963963963964,0.469841603301475,"0/0"
"Butyrivibrio proteoclasticus","Erysiphe pulchra",-0.111413402759879,0.0175599177073,0.033798698371861,0.439640524891721,2.26618393820016,0.0234401236358319,0.0768288288288288,0.469841603301475,"-/0"
"Bifidobacterium catenulatum","Coniochaeta ligniaria",0.0617173154283449,0.189299498073963,-0.0832528507461633,0.0566079117311296,-2.25922187614444,0.0238695866939931,0.0772252252252252,0.469841603301475,"0/0"
"Porphyromonas asaccharolytica","Aspergillus rambellii",0.150873963474652,0.00126269407265966,0.00735917649099945,0.866409988697241,-2.25040961674702,0.0244229551035603,0.0776576576576577,0.469841603301475,"+/0"
"Ruminococcus bicirculans","Cordyceps sp. RAO-2017",0.027577807812372,0.557808637943469,0.170370085484837,8.74235164705084e-05,2.24710666107221,0.0246332113301203,0.0777297297297297,0.469841603301475,"0/+"
"Streptococcus sp. JS71","Pichia kudriavzevii",0.36365705466857,1.33226762955019e-15,0.232547383815972,7.05787523980206e-08,-2.24321917582856,0.024882684328701,0.077981981981982,0.469841603301475,"+/+"
"Longibaculum sp. KGMB06250","Baudoinia panamericana",0.0206079860257586,0.661432648048891,0.163116667931023,0.000174220152143523,2.23953152621106,0.0251213524013497,0.0781261261261261,0.469841603301475,"0/+"
"Blautia sp. SC05B48","Pichia kudriavzevii",0.258884395096509,2.18587943301429e-08,0.12071075525645,0.00561645815832801,-2.23383950437307,0.0254936352084474,0.0783783783783784,0.469841603301475,"+/+"
"Bifidobacterium longum","Cordyceps sp. RAO-2017",0.153178717285817,0.0010597426871537,0.0116412053007918,0.790156986658292,-2.22049538802034,0.0263851584053672,0.078954954954955,0.469841603301475,"+/0"
"Prevotella intermedia","Leucoagaricus sp. SymC.cos",-0.0779368334737066,0.0972030477540331,0.0643086744606488,0.141153746866163,2.21645998238326,0.0266600156338466,0.0791711711711712,0.469841603301475,"0/0"
